Ano,Fluxo,Categoria,Exportacoes_USD,Var YoY (%)
2015,EXP,Madeira e Móveis,805366061.0,
2016,EXP,Madeira e Móveis,854256695.0,6.1
2017,EXP,Madeira e Móveis,1052166972.0,23.2
2018,EXP,Madeira e Móveis,1213530358.0,15.3
2019,EXP,Madeira e Móveis,1142274322.0,-5.9
2020,EXP,Madeira e Móveis,1268194130.0,11.0
2021,EXP,Madeira e Móveis,1825470760.0,43.9
2022,EXP,Madeira e Móveis,1795085513.0,-1.7
2023,EXP,Madeira e Móveis,1375099726.0,-23.4
2024,EXP,Madeira e Móveis,1562555709.0,13.6
2025,EXP,Madeira e Móveis,1441289042.0,-7.8
2015,IMP,Madeira e Móveis,100723154.0,
2016,IMP,Madeira e Móveis,79422385.0,-21.1
2017,IMP,Madeira e Móveis,96744545.0,21.8
2018,IMP,Madeira e Móveis,114331447.0,18.2
2019,IMP,Madeira e Móveis,140307091.0,22.7
2020,IMP,Madeira e Móveis,151187219.0,7.8
2021,IMP,Madeira e Móveis,211796440.0,40.1
2022,IMP,Madeira e Móveis,153204886.0,-27.7
2023,IMP,Madeira e Móveis,189545126.0,23.7
2024,IMP,Madeira e Móveis,231804125.0,22.3
2025,IMP,Madeira e Móveis,251345430.0,8.4
2015,EXP,Papel e Celulose,250833412.0,
2016,EXP,Papel e Celulose,245291378.0,-2.2
2017,EXP,Papel e Celulose,244140867.0,-0.5
2018,EXP,Papel e Celulose,274288854.0,12.3
2019,EXP,Papel e Celulose,272524483.0,-0.6
2020,EXP,Papel e Celulose,255163706.0,-6.4
2021,EXP,Papel e Celulose,287619476.0,12.7
2022,EXP,Papel e Celulose,452414172.0,57.3
2023,EXP,Papel e Celulose,349294927.0,-22.8
2024,EXP,Papel e Celulose,330873864.0,-5.3
2025,EXP,Papel e Celulose,371136784.0,12.2
2015,IMP,Papel e Celulose,89545731.0,
2016,IMP,Papel e Celulose,68906571.0,-23.0
2017,IMP,Papel e Celulose,86142475.0,25.0
2018,IMP,Papel e Celulose,108003325.0,25.4
2019,IMP,Papel e Celulose,117995991.0,9.3
2020,IMP,Papel e Celulose,98719216.0,-16.3
2021,IMP,Papel e Celulose,157312014.0,59.4
2022,IMP,Papel e Celulose,152597861.0,-3.0
2023,IMP,Papel e Celulose,153551497.0,0.6
2024,IMP,Papel e Celulose,187953386.0,22.4
2025,IMP,Papel e Celulose,205591700.0,9.4
2015,EXP,Produção Florestal,4175102.0,
2016,EXP,Produção Florestal,3789374.0,-9.2
2017,EXP,Produção Florestal,6348961.0,67.5
2018,EXP,Produção Florestal,7584910.0,19.5
2019,EXP,Produção Florestal,11203115.0,47.7
2020,EXP,Produção Florestal,16465545.0,47.0
2021,EXP,Produção Florestal,32215396.0,95.7
2022,EXP,Produção Florestal,62118350.0,92.8
2023,EXP,Produção Florestal,42129153.0,-32.2
2024,EXP,Produção Florestal,50718988.0,20.4
2025,EXP,Produção Florestal,49021632.0,-3.3
2015,IMP,Produção Florestal,706270.0,
2016,IMP,Produção Florestal,946255.0,34.0
2017,IMP,Produção Florestal,1494938.0,58.0
2018,IMP,Produção Florestal,3623539.0,142.4
2019,IMP,Produção Florestal,5663248.0,56.3
2020,IMP,Produção Florestal,5914154.0,4.4
2021,IMP,Produção Florestal,13353461.0,125.8
2022,IMP,Produção Florestal,16164548.0,21.1
2023,IMP,Produção Florestal,19369884.0,19.8
2024,IMP,Produção Florestal,13993827.0,-27.8
2025,IMP,Produção Florestal,20725233.0,48.1
