Ano,Exportacoes_USD,Importacoes_USD,Saldo_USD,Var Exportacoes YoY (%),Var Importacoes YoY (%),Var Saldo YoY (%)
2015,1060374575.0,190975155.0,869399420.0,,,
2016,1103337447.0,149275211.0,954062236.0,4.1,-21.8,9.7
2017,1302656800.0,184381958.0,1118274842.0,18.1,23.5,17.2
2018,1495404122.0,225958311.0,1269445811.0,14.8,22.5,13.5
2019,1426001920.0,263966330.0,1162035590.0,-4.6,16.8,-8.5
2020,1539823381.0,255820589.0,1284002792.0,8.0,-3.1,10.5
2021,2145305632.0,382461915.0,1762843717.0,39.3,49.5,37.3
2022,2309618035.0,321967295.0,1987650740.0,7.7,-15.8,12.8
2023,1766523806.0,362466507.0,1404057299.0,-23.5,12.6,-29.4
2024,1944148561.0,433751338.0,1510397223.0,10.1,19.7,7.6
2025,1861447458.0,477662363.0,1383785095.0,-4.3,10.1,-8.4
