Produto,Categoria,Ano,Exportacoes_USD,Kg,Nr_Destinos,Var YoY (%),Var Kg YoY (%),Share Total (%)
Madeira serrada,Madeira e Móveis,2023,311299909.0,641650783.0,65,,,17.9
Obras de carpintaria para construções,Madeira e Móveis,2023,293467151.0,137215604.0,70,,,16.9
Outros móveis,Madeira e Móveis,2023,241818630.0,97903120.0,101,,,13.9
Madeira compensada,Madeira e Móveis,2023,213167588.0,359788885.0,79,,,12.2
"Papel Kraft, não revestidos",Papel e Celulose,2023,185438423.0,270537096.0,68,,,10.7
Madeira em forma,Madeira e Móveis,2023,105893194.0,59053449.0,17,,,6.1
Recipientes de papel,Papel e Celulose,2023,86183901.0,62046915.0,54,,,5.0
Madeira MDF,Madeira e Móveis,2023,62423423.0,173465859.0,47,,,3.6
Madeira em bruto,Produção Florestal,2023,38059989.0,492522368.0,12,,,2.2
Lenha e desperdícios de madeira,Madeira e Móveis,2023,34285443.0,182364323.0,22,346462.7,917687.2,2.0
Painéis de madeira aglomerada,Madeira e Móveis,2023,26060389.0,78226685.0,26,,,1.5
Outros papéis,Papel e Celulose,2023,23860868.0,42629180.0,23,,,1.4
Papel para fabricação de papel higiênico,Papel e Celulose,2023,22825913.0,18585492.0,9,,,1.3
Madeira densificada,Madeira e Móveis,2023,17091616.0,35848602.0,11,,,1.0
Papel higiênico,Papel e Celulose,2023,16955304.0,10085836.0,35,,,1.0
Folheados,Madeira e Móveis,2023,16943121.0,66825862.0,19,,,1.0
Outros artigos de madeira,Madeira e Móveis,2023,12739892.0,6773372.0,47,,,0.7
Assentos,Madeira e Móveis,2023,12736742.0,1980071.0,49,,,0.7
"Edredons, almofadas e artigos semelhantes",Madeira e Móveis,2023,11169261.0,2343577.0,32,,,0.6
Ferramentas de madeira,Madeira e Móveis,2023,8517567.0,4448874.0,21,,,0.5
Lenha e desperdícios de madeira,Produção Florestal,2023,9893.0,19870.0,2,,,0.0
Madeira serrada,Madeira e Móveis,2024,340657017.0,689467038.0,59,9.4,7.5,17.8
Obras de carpintaria para construções,Madeira e Móveis,2024,331417218.0,154400928.0,67,12.9,12.5,17.3
Madeira compensada,Madeira e Móveis,2024,253476658.0,407716837.0,79,18.9,13.3,13.2
Outros móveis,Madeira e Móveis,2024,239364218.0,99389644.0,104,-1.0,1.5,12.5
"Papel Kraft, não revestidos",Papel e Celulose,2024,180429346.0,280744917.0,72,-2.7,3.8,9.4
Madeira em forma,Madeira e Móveis,2024,129425135.0,80893919.0,15,22.2,37.0,6.8
Madeira MDF,Madeira e Móveis,2024,90592729.0,255030208.0,42,45.1,47.0,4.7
Recipientes de papel,Papel e Celulose,2024,76359996.0,54896451.0,58,-11.4,-11.5,4.0
Painéis de madeira aglomerada,Madeira e Móveis,2024,46782089.0,137604376.0,27,79.5,75.9,2.4
Madeira em bruto,Produção Florestal,2024,44560707.0,565660207.0,7,17.1,14.8,2.3
Lenha e desperdícios de madeira,Madeira e Móveis,2024,34507414.0,208978240.0,18,0.6,14.6,1.8
Folheados,Madeira e Móveis,2024,24396855.0,102801369.0,24,44.0,53.8,1.3
Outros papéis,Papel e Celulose,2024,21922921.0,39424594.0,19,-8.1,-7.5,1.1
Papel higiênico,Papel e Celulose,2024,19040969.0,11455152.0,34,12.3,13.6,1.0
Papel para fabricação de papel higiênico,Papel e Celulose,2024,18958049.0,15568942.0,10,-16.9,-16.2,1.0
Madeira densificada,Madeira e Móveis,2024,16474355.0,34080942.0,14,-3.6,-4.9,0.9
Ferramentas de madeira,Madeira e Móveis,2024,13112707.0,6841484.0,21,53.9,53.8,0.7
