Ano,Florestal_USD,Total_SC_USD,Participacao_Pct,Var Florestal YoY (%),Var Total SC YoY (%),Var Participacao pp
2015,1060374575.0,7640214652.0,13.878858426083918,,,
2016,1103337447.0,7591469375.0,14.533911585462992,4.1,-0.6,0.66
2017,1302656800.0,8506602807.0,15.313478594863469,18.1,12.1,0.78
2018,1495404122.0,9271832402.0,16.128463686179558,14.8,9.0,0.81
2019,1426001920.0,8951855776.0,15.92967933892683,-4.6,-3.5,-0.2
2020,1539823381.0,8127704094.0,18.94536714416956,8.0,-9.2,3.02
2021,2145305632.0,10295984158.0,20.836333847047474,39.3,26.7,1.89
2022,2309618035.0,11966468596.0,19.300748725250738,7.7,16.2,-1.54
2023,1766523806.0,11577616761.0,15.258095361652124,-23.5,-3.2,-4.04
2024,1944148561.0,11655277052.0,16.68041482262656,10.1,0.7,1.42
2025,1861447458.0,12196578870.0,15.262045839580587,-4.3,4.6,-1.42
