Categoria,Pais,Ano,Exportacoes_USD,Var YoY (%),Share Categoria (%)
Madeira e Móveis,Estados Unidos,2023,685508260.0,,63.8
Madeira e Móveis,México,2023,129542144.0,,12.1
Madeira e Móveis,Reino Unido,2023,64883261.0,,6.0
Madeira e Móveis,China,2023,39029581.0,,3.6
Madeira e Móveis,Itália,2023,35759506.0,,3.3
Madeira e Móveis,França,2023,33234848.0,,3.1
Madeira e Móveis,Alemanha,2023,25706415.0,,2.4
Madeira e Móveis,Arábia Saudita,2023,23953864.0,,2.2
Madeira e Móveis,Emirados Árabes Unidos,2023,21914075.0,,2.0
Madeira e Móveis,Espanha,2023,14252228.0,,1.3
Madeira e Móveis,Estados Unidos,2024,768481622.0,12.1,64.3
Madeira e Móveis,México,2024,142966390.0,10.4,12.0
Madeira e Móveis,Reino Unido,2024,70108080.0,8.1,5.9
Madeira e Móveis,China,2024,57263530.0,46.7,4.8
Madeira e Móveis,Itália,2024,37456575.0,4.7,3.1
Madeira e Móveis,França,2024,33177554.0,-0.2,2.8
Madeira e Móveis,Alemanha,2024,27037675.0,5.2,2.3
Madeira e Móveis,Arábia Saudita,2024,24969591.0,4.2,2.1
Madeira e Móveis,Emirados Árabes Unidos,2024,19878147.0,-9.3,1.7
Madeira e Móveis,Espanha,2024,14131683.0,-0.8,1.2
Madeira e Móveis,Estados Unidos,2025,596166414.0,-22.4,59.2
Madeira e Móveis,México,2025,97705161.0,-31.7,9.7
Madeira e Móveis,Reino Unido,2025,58350765.0,-16.8,5.8
Madeira e Móveis,Itália,2025,47774550.0,27.5,4.7
Madeira e Móveis,China,2025,44837741.0,-21.7,4.5
Madeira e Móveis,Emirados Árabes Unidos,2025,36530906.0,83.8,3.6
Madeira e Móveis,Arábia Saudita,2025,35467000.0,42.0,3.5
Madeira e Móveis,Espanha,2025,30308968.0,114.5,3.0
Madeira e Móveis,Alemanha,2025,29890923.0,10.6,3.0
Madeira e Móveis,França,2025,29592603.0,-10.8,2.9
Papel e Celulose,Argentina,2023,84071038.0,,28.9
Papel e Celulose,Estados Unidos,2023,36168053.0,,12.5
Papel e Celulose,Chile,2023,34963699.0,,12.0
Papel e Celulose,Paraguai,2023,28442464.0,,9.8
Papel e Celulose,México,2023,23660633.0,,8.1
Papel e Celulose,Uruguai,2023,21618970.0,,7.4
Papel e Celulose,Equador,2023,19813320.0,,6.8
Papel e Celulose,Bolívia,2023,17799123.0,,6.1
Papel e Celulose,África do Sul,2023,17291710.0,,6.0
Papel e Celulose,China,2023,6583918.0,,2.3
Papel e Celulose,Argentina,2024,86092676.0,2.4,34.1
Papel e Celulose,Paraguai,2024,34629834.0,21.8,13.7
Papel e Celulose,México,2024,27885706.0,17.9,11.0
Papel e Celulose,Estados Unidos,2024,25186395.0,-30.4,10.0
Papel e Celulose,Uruguai,2024,22804860.0,5.5,9.0
Papel e Celulose,Chile,2024,20601490.0,-41.1,8.2
Papel e Celulose,Bolívia,2024,13847976.0,-22.2,5.5
Papel e Celulose,África do Sul,2024,8561898.0,-50.5,3.4
Papel e Celulose,China,2024,7761246.0,17.9,3.1
Papel e Celulose,Equador,2024,5309468.0,-73.2,2.1
Papel e Celulose,Argentina,2025,101518662.0,17.9,34.1
Papel e Celulose,Paraguai,2025,37865529.0,9.3,12.7
Papel e Celulose,Chile,2025,29202628.0,41.8,9.8
Papel e Celulose,México,2025,23686033.0,-15.1,8.0
Papel e Celulose,Uruguai,2025,23164116.0,1.6,7.8
Papel e Celulose,Estados Unidos,2025,23149768.0,-8.1,7.8
Papel e Celulose,Equador,2025,19072749.0,259.2,6.4
Papel e Celulose,Bolívia,2025,16258564.0,17.4,5.5
Papel e Celulose,África do Sul,2025,15047674.0,75.8,5.1
Papel e Celulose,China,2025,8647715.0,11.4,2.9
Produção Florestal,China,2023,23607252.0,,57.7
Produção Florestal,Portugal,2023,14250186.0,,34.9
Produção Florestal,Estados Unidos,2023,1604610.0,,3.9
Produção Florestal,Alemanha,2023,963355.0,,2.4
Produção Florestal,Coreia do Sul,2023,248270.0,,0.6
Produção Florestal,Índia,2023,119688.0,,0.3
Produção Florestal,Chile,2023,53656.0,,0.1
Produção Florestal,Peru,2023,36863.0,,0.1
Produção Florestal,China,2024,25526429.0,8.1,51.4
Produção Florestal,Portugal,2024,19815829.0,39.1,39.9
Produção Florestal,Estados Unidos,2024,1839639.0,14.6,3.7
Produção Florestal,Alemanha,2024,1372789.0,42.5,2.8
Produção Florestal,Coreia do Sul,2024,620044.0,149.7,1.2
Produção Florestal,Peru,2024,227891.0,518.2,0.5
Produção Florestal,México,2024,107460.0,,0.2
Produção Florestal,Áustria,2024,100145.0,,0.2
Produção Florestal,Índia,2024,39607.0,-66.9,0.1
Produção Florestal,Chile,2024,31311.0,-41.6,0.1
Produção Florestal,Portugal,2025,22985441.0,16.0,47.6
Produção Florestal,China,2025,21110946.0,-17.3,43.8
Produção Florestal,Estados Unidos,2025,1358294.0,-26.2,2.8
Produção Florestal,Alemanha,2025,1031778.0,-24.8,2.1
Produção Florestal,Coreia do Sul,2025,635315.0,2.5,1.3
Produção Florestal,Chile,2025,343293.0,996.4,0.7
Produção Florestal,Índia,2025,233222.0,488.8,0.5
Produção Florestal,Áustria,2025,205534.0,105.2,0.4
Produção Florestal,México,2025,201540.0,87.5,0.4
Produção Florestal,Peru,2025,142120.0,-37.6,0.3
