Ano,Exp_EUA_USD,Exp_Total_Florestal_USD,Share_EUA_Pct,Var Exp EUA YoY (%),Var Total YoY (%),Var Share pp
2015,386421371.0,1060374575.0,36.441968726004205,,,
2016,429663787.0,1103337447.0,38.94219199831074,11.2,4.1,2.5
2017,508357693.0,1302656800.0,39.024683477643535,18.3,18.1,0.08
2018,574096393.0,1495404122.0,38.39071890695243,12.9,14.8,-0.63
2019,608859394.0,1426001920.0,42.696954713777664,6.1,-4.6,4.31
2020,730508215.0,1539823381.0,47.4410392785171,20.0,8.0,4.74
2021,1072112422.0,2145305632.0,49.97481039568725,46.8,39.3,2.53
2022,1061087483.0,2309618035.0,45.942119732365185,-1.0,7.7,-4.03
2023,723280923.0,1766523806.0,40.943740500036036,-31.8,-23.5,-5.0
2024,795507656.0,1944148561.0,40.918048751933824,10.0,10.1,-0.03
2025,620674476.0,1861447458.0,33.34364734994309,-22.0,-4.3,-7.57
