Produto,Categoria,Exp_EUA_2023_USD,Exp_EUA_2024_USD,Exp_EUA_2025_USD,Delta_24_25_USD,Var_24_25_Pct,Var_23_24_Pct
Obras de carpintaria para construções,Madeira e Móveis,243986801.0,283848746.0,203618884.0,-80229862.0,-28.265004912158393,16.337746483261608
Madeira em forma,Madeira e Móveis,102301165.0,126561527.0,81342982.0,-45218545.0,-35.7285077636587,23.71464880189781
Madeira compensada,Madeira e Móveis,83850734.0,96652925.0,81395937.0,-15256988.0,-15.785335001501508,15.267834149191826
Outros móveis,Madeira e Móveis,120518282.0,114856734.0,100756235.0,-14100499.0,-12.276597556744038,-4.697667363031279
Madeira MDF,Madeira e Móveis,12402213.0,20209268.0,14973464.0,-5235804.0,-25.907934913822707,62.94888662208914
Madeira densificada,Madeira e Móveis,13160691.0,11655314.0,8721168.0,-2934146.0,-25.174319627939667,-11.43843434968574
Outros artigos de madeira,Madeira e Móveis,9738196.0,7687744.0,5463653.0,-2224091.0,-28.930346796147216,-21.055768440068366
Madeira serrada,Madeira e Móveis,90855153.0,94657365.0,92709537.0,-1947828.0,-2.057766978829381,4.184916181914304
Caixas de madeira,Madeira e Móveis,3446772.0,2739634.0,927233.0,-1812401.0,-66.15485864170178,-20.515949415859243
Ferramentas de madeira,Madeira e Móveis,1521331.0,3939042.0,2145113.0,-1793929.0,-45.542266368320014,158.9207739801529
Painéis de madeira aglomerada,Madeira e Móveis,244189.0,1446539.0,172519.0,-1274020.0,-88.07367101751146,492.38499686718075
Recipientes de papel,Papel e Celulose,34605569.0,23465951.0,22299319.0,-1166632.0,-4.971594801335773,-32.19024660452773
Pergaminhos vegetais,Papel e Celulose,1165327.0,1056510.0,340513.0,-715997.0,-67.77001637466753,-9.337893998851825
Assentos,Madeira e Móveis,3075653.0,2773496.0,2285299.0,-488197.0,-17.602224773354642,-9.824157666680865
Sucos,Produção Florestal,1447721.0,1686742.0,1254789.0,-431953.0,-25.608717871494278,16.510156307741617
