Setor,Ano,Rank,Pais,Exportacoes USD,Share (%),Share Acumulado (%)
Madeira (CNAE 16),2023,1,Estados Unidos,561872652.0,50.6,50.6
Madeira (CNAE 16),2023,2,México,127944516.0,11.5,62.2
Madeira (CNAE 16),2023,3,Reino Unido,39836286.0,3.6,65.8
Madeira (CNAE 16),2023,4,China,38738623.0,3.5,69.3
Madeira (CNAE 16),2023,5,Itália,33628134.0,3.0,72.3
Madeira (CNAE 16),2023,6,Arábia Saudita,23735213.0,2.1,74.4
Madeira (CNAE 16),2023,7,Emirados Árabes Unidos,20716125.0,1.9,76.3
Madeira (CNAE 16),2023,8,Vietnã,19191432.0,1.7,78.0
Madeira (CNAE 16),2023,9,Alemanha,17244158.0,1.6,79.6
Madeira (CNAE 16),2023,10,França,16749853.0,1.5,81.1
Madeira (CNAE 16),2024,1,Estados Unidos,650820240.0,50.1,50.1
Madeira (CNAE 16),2024,2,México,141664724.0,10.9,61.0
Madeira (CNAE 16),2024,3,China,56690689.0,4.4,65.4
Madeira (CNAE 16),2024,4,Reino Unido,43710967.0,3.4,68.8
Madeira (CNAE 16),2024,5,Itália,35697231.0,2.7,71.5
Madeira (CNAE 16),2024,6,Vietnã,28347247.0,2.2,73.7
Madeira (CNAE 16),2024,7,Arábia Saudita,24649076.0,1.9,75.6
Madeira (CNAE 16),2024,8,Alemanha,20236535.0,1.6,77.1
Madeira (CNAE 16),2024,9,Emirados Árabes Unidos,19003129.0,1.5,78.6
Madeira (CNAE 16),2024,10,Índia,18521929.0,1.4,80.0
Madeira (CNAE 16),2025,1,Estados Unidos,493111088.0,42.1,42.1
Madeira (CNAE 16),2025,2,México,97238184.0,8.3,50.4
Madeira (CNAE 16),2025,3,Itália,45377727.0,3.9,54.2
Madeira (CNAE 16),2025,4,China,44224207.0,3.8,58.0
Madeira (CNAE 16),2025,5,Emirados Árabes Unidos,36026669.0,3.1,61.1
Madeira (CNAE 16),2025,6,Arábia Saudita,35011994.0,3.0,64.1
Madeira (CNAE 16),2025,7,Reino Unido,34293753.0,2.9,67.0
Madeira (CNAE 16),2025,8,Índia,25295926.0,2.2,69.2
Madeira (CNAE 16),2025,9,Vietnã,24984201.0,2.1,71.3
Madeira (CNAE 16),2025,10,Espanha,24202426.0,2.1,73.4
Moveis (CNAE 31),2023,1,Estados Unidos,120580439.0,47.6,47.6
Moveis (CNAE 31),2023,2,Reino Unido,24847262.0,9.8,57.5
Moveis (CNAE 31),2023,3,Uruguai,18196033.0,7.2,64.6
Moveis (CNAE 31),2023,4,França,16444173.0,6.5,71.1
Moveis (CNAE 31),2023,5,Países Baixos (Holanda),9863110.0,3.9,75.0
Moveis (CNAE 31),2023,6,Alemanha,8121849.0,3.2,78.2
Moveis (CNAE 31),2023,7,Porto Rico,6608624.0,2.6,80.9
Moveis (CNAE 31),2023,8,Espanha,5522565.0,2.2,83.0
Moveis (CNAE 31),2023,9,Canadá,5181051.0,2.0,85.1
Moveis (CNAE 31),2023,10,Chile,4487089.0,1.8,86.9
Moveis (CNAE 31),2024,1,Estados Unidos,114887986.0,45.7,45.7
Moveis (CNAE 31),2024,2,Reino Unido,26256103.0,10.4,56.1
Moveis (CNAE 31),2024,3,Uruguai,21197164.0,8.4,64.5
Moveis (CNAE 31),2024,4,França,16965492.0,6.7,71.3
Moveis (CNAE 31),2024,5,Países Baixos (Holanda),10859246.0,4.3,75.6
Moveis (CNAE 31),2024,6,Porto Rico,6737898.0,2.7,78.3
Moveis (CNAE 31),2024,7,Alemanha,6304788.0,2.5,80.8
Moveis (CNAE 31),2024,8,Espanha,5034725.0,2.0,82.8
Moveis (CNAE 31),2024,9,Paraguai,4867852.0,1.9,84.7
Moveis (CNAE 31),2024,10,Chile,4246871.0,1.7,86.4
Moveis (CNAE 31),2025,1,Estados Unidos,100771475.0,39.8,39.8
Moveis (CNAE 31),2025,2,Reino Unido,23874606.0,9.4,49.2
Moveis (CNAE 31),2025,3,Uruguai,21880259.0,8.6,57.9
Moveis (CNAE 31),2025,4,França,17855294.0,7.1,64.9
Moveis (CNAE 31),2025,5,Porto Rico,12347907.0,4.9,69.8
Moveis (CNAE 31),2025,6,Países Baixos (Holanda),9920522.0,3.9,73.7
Moveis (CNAE 31),2025,7,Alemanha,8886333.0,3.5,77.2
Moveis (CNAE 31),2025,8,Argentina,6514963.0,2.6,79.8
Moveis (CNAE 31),2025,9,Espanha,6076222.0,2.4,82.2
Moveis (CNAE 31),2025,10,Paraguai,5340504.0,2.1,84.3
Base Florestal (CNAE 2),2023,1,China,23607252.0,56.0,56.0
Base Florestal (CNAE 2),2023,2,Portugal,14250186.0,33.8,89.9
Base Florestal (CNAE 2),2023,3,Estados Unidos,1604610.0,3.8,93.7
Base Florestal (CNAE 2),2023,4,Alemanha,963355.0,2.3,96.0
