CNAE,Descricao_CNAE,Categoria_SC,Ano,EXP_USD,IMP_USD,Saldo_USD,EXP_Kg,Nr_Destinos_EXP,Nr_NCMs_EXP,Var EXP YoY (%),Var IMP YoY (%),Var Saldo YoY (%),Var EXP Kg YoY (%),Var Nr Destinos
16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,Madeira e Móveis,2019,858824307.0,24757798.0,834066509.0,1588711063.0,123,63,,,,,
16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,Madeira e Móveis,2020,988363735.0,19541431.0,968822304.0,1881689029.0,125,65,15.1,-21.1,16.2,18.4,2
16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,Madeira e Móveis,2021,1446131975.0,31827051.0,1414304924.0,1908313632.0,126,60,46.3,62.9,46.0,1.4,1
16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,Madeira e Móveis,2022,1440624777.0,33187312.0,1407437465.0,1839694394.0,122,71,-0.4,4.3,-0.5,-3.6,-4
16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,Madeira e Móveis,2023,1109375093.0,34543812.0,1074831281.0,1751497933.0,127,70,-23.0,4.1,-23.6,-4.8,5
16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,Madeira e Móveis,2024,1298661200.0,43770853.0,1254890347.0,2089992945.0,131,72,17.1,26.7,16.8,19.3,4
16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,Madeira e Móveis,2025,1172015840.0,48169425.0,1123846415.0,2086603674.0,126,75,-9.8,10.0,-10.4,-0.2,-5
17,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2019,0.0,1341.0,-1341.0,0.0,0,0,,,,,
17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",Papel e Celulose,2019,272524483.0,117995991.0,154528492.0,358261811.0,93,83,inf,8799004.5,11523477.5,inf,93
17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",Papel e Celulose,2020,255163706.0,98719216.0,156444490.0,383830228.0,93,86,-6.4,-16.3,1.2,7.1,0
17,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2020,0.0,7469.0,-7469.0,0.0,0,0,-100.0,-100.0,-100.0,-100.0,-93
17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",Papel e Celulose,2021,287619476.0,157312014.0,130307462.0,357180080.0,102,89,inf,2106099.1,1744744.0,inf,102
17,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2021,0.0,11768.0,-11768.0,0.0,0,0,-100.0,-100.0,-100.0,-100.0,-102
17,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2022,0.0,19875.0,-19875.0,0.0,0,0,,68.9,-68.9,,0
17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",Papel e Celulose,2022,452414172.0,152597861.0,299816311.0,475258556.0,104,92,inf,767688.0,1508609.7,inf,104
17,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2023,0.0,17658.0,-17658.0,0.0,0,0,-100.0,-100.0,-100.0,-100.0,-104
17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",Papel e Celulose,2023,349294927.0,153551497.0,195743430.0,413577872.0,100,93,inf,869486.0,1108625.5,inf,100
17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",Papel e Celulose,2024,330873864.0,187953386.0,142920478.0,415948184.0,105,100,-5.3,22.4,-27.0,0.6,5
17,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2024,0.0,11579.0,-11579.0,0.0,0,0,-100.0,-100.0,-100.0,-100.0,-105
17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",Papel e Celulose,2025,371136784.0,205591700.0,165545084.0,474123755.0,105,98,inf,1775456.6,1429801.0,inf,105
17,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2025,0.0,12182.0,-12182.0,0.0,0,0,-100.0,-100.0,-100.0,-100.0,-105
2,PRODUÇÃO FLORESTAL,Produção Florestal,2019,11203115.0,5663248.0,5539867.0,149690060.0,43,8,,,,,
2,PRODUÇÃO FLORESTAL,Produção Florestal,2020,16465545.0,5914154.0,10551391.0,208841664.0,43,8,47.0,4.4,90.5,39.5,0
2,PRODUÇÃO FLORESTAL,Produção Florestal,2021,32215396.0,13353461.0,18861935.0,356807989.0,43,7,95.7,125.8,78.8,70.9,0
2,PRODUÇÃO FLORESTAL,Produção Florestal,2022,62118350.0,16164548.0,45953802.0,685578082.0,47,9,92.8,21.1,143.6,92.1,4
2,PRODUÇÃO FLORESTAL,Produção Florestal,2023,42129153.0,19369884.0,22759269.0,493207644.0,48,11,-32.2,19.8,-50.5,-28.1,1
2,PRODUÇÃO FLORESTAL,Produção Florestal,2024,50718988.0,13993827.0,36725161.0,566519208.0,42,9,20.4,-27.8,61.4,14.9,-6
2,PRODUÇÃO FLORESTAL,Produção Florestal,2025,49021632.0,20725233.0,28296399.0,541961648.0,47,10,-3.3,48.1,-23.0,-4.3,5
31,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2019,275142463.0,52162577.0,222979886.0,125609875.0,105,15,,,,,
31,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2020,272336690.0,54717693.0,217618997.0,125915246.0,95,15,-1.0,4.9,-2.4,0.2,-10
31,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2021,365168237.0,76546815.0,288621422.0,157663317.0,90,14,34.1,39.9,32.6,25.2,-5
31,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2022,338558899.0,86749930.0,251808969.0,125885122.0,99,24,-7.3,13.3,-12.8,-20.2,9
31,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2023,253109987.0,126533979.0,126576008.0,100263501.0,102,22,-25.2,45.9,-49.7,-20.4,3
31,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2024,251532828.0,148058804.0,103474024.0,101967542.0,106,20,-0.6,17.0,-18.3,1.7,4
31,FABRICAÇÃO DE MÓVEIS,Madeira e Móveis,2025,253193453.0,162946837.0,90246616.0,105240699.0,105,22,0.7,10.1,-12.8,3.2,-1
