Setor,Ano,SC_EXP,BR_EXP,Part_EXP_Pct,SC_IMP,BR_IMP,Part_IMP_Pct,SC_Kg,BR_Kg,Part_Kg_Pct,SC_Nr_Destinos,BR_Nr_Destinos,Part_Nr_Destinos_Pct,SC_Nr_NCMs,BR_Nr_NCMs,Part_Nr_NCMs_Pct,Var_SC_EXP_YoY_Pct,Var_BR_EXP_YoY_Pct,Var_Part_EXP_pp,Var_SC_IMP_YoY_Pct,Var_BR_IMP_YoY_Pct,Var_Part_IMP_pp,Var_SC_Kg_YoY_Pct,Var_BR_Kg_YoY_Pct,Var_Part_Kg_pp
Base Florestal (CNAE 2),2023,42129153.0,302663768.0,13.92,19369884.0,64615656.0,29.98,493207644.0,1494415866.0,33.0,48,102,47.06,11,21,52.38,,,,,,,,,
Base Florestal (CNAE 2),2024,50718988.0,344008910.0,14.74,13993827.0,67908970.0,20.61,566519208.0,1327835484.0,42.66,42,100,42.0,9,19,47.37,20.4,13.7,0.82,-27.8,5.1,-9.37,14.9,-11.1,9.66
Base Florestal (CNAE 2),2025,49021632.0,351907316.0,13.93,20725233.0,75060018.0,27.61,541961648.0,1096214724.0,49.44,47,100,47.0,10,21,47.62,-3.3,2.3,-0.81,48.1,10.5,7.0,-4.3,-17.4,6.78
Complexo Florestal,2023,1766523806.0,14715190221.0,12.0,362466507.0,1671230677.0,21.69,2760510217.0,29447403703.0,9.37,157,211,74.41,205,351,58.4,,,,,,,,,
Complexo Florestal,2024,1944148561.0,17797656923.0,10.92,433751338.0,1870543378.0,23.19,3176504571.0,30813840258.0,10.31,160,215,74.42,209,348,60.06,10.1,20.9,-1.08,19.7,11.9,1.5,15.1,4.6,0.94
Complexo Florestal,2025,1861447458.0,16984631570.0,10.96,477662363.0,2087540242.0,22.88,3211146259.0,32328575500.0,9.93,153,209,73.21,213,344,61.92,-4.3,-4.6,0.04,10.1,11.6,-0.31,1.1,4.9,-0.38
Madeira (CNAE 16),2023,1109375093.0,3263494144.0,33.99,34543812.0,137841471.0,25.06,1751497933.0,6288906306.0,27.85,127,175,72.57,70,116,60.34,,,,,,,,,
Madeira (CNAE 16),2024,1298661200.0,3506154734.0,37.04,43770853.0,149247657.0,29.33,2089992945.0,6877909238.0,30.39,131,172,76.16,72,115,62.61,17.1,7.4,3.05,26.7,8.3,4.27,19.3,9.4,2.54
Madeira (CNAE 16),2025,1172015840.0,3155866395.0,37.14,48169425.0,174318134.0,27.63,2086603674.0,6080495439.0,34.32,126,171,73.68,75,112,66.96,-9.8,-10.0,0.1,10.0,16.8,-1.7,-0.2,-11.6,3.93
Madeira e Moveis (16+31),2023,1362485080.0,3944278010.0,34.54,161077791.0,400865404.0,40.18,1851761434.0,6608072321.0,28.02,138,196,70.41,92,143,64.34,,,,,,,,,
Madeira e Moveis (16+31),2024,1550194028.0,4213497001.0,36.79,191829657.0,476182155.0,40.28,2191960487.0,7219951193.0,30.36,145,190,76.32,92,142,64.79,13.8,6.8,2.25,19.1,18.8,0.1,18.4,9.3,2.34
Madeira e Moveis (16+31),2025,1425209293.0,3858974555.0,36.93,211116262.0,534734626.0,39.48,2191844373.0,6427278301.0,34.1,142,189,75.13,97,136,71.32,-8.1,-8.4,0.14,10.1,12.3,-0.8,-0.0,-11.0,3.74
Moveis (CNAE 31),2023,253109987.0,680783866.0,37.18,126533979.0,263023933.0,48.11,100263501.0,319166015.0,31.41,102,174,58.62,22,27,81.48,,,,,,,,,
Moveis (CNAE 31),2024,251532828.0,707342267.0,35.56,148058804.0,326934498.0,45.29,101967542.0,342041955.0,29.81,106,165,64.24,20,27,74.07,-0.6,3.9,-1.62,17.0,24.3,-2.82,1.7,7.2,-1.6
Moveis (CNAE 31),2025,253193453.0,703108160.0,36.01,162946837.0,360416492.0,45.21,105240699.0,346782862.0,30.35,105,173,60.69,22,24,91.67,0.7,-0.6,0.45,10.1,10.2,-0.08,3.2,1.4,0.54
Papel e Celulose (CNAE 17),2023,349294927.0,10359652705.0,3.37,153569155.0,1107666956.0,13.86,413577872.0,21329307737.0,1.94,100,173,57.8,93,173,53.76,,,,,,,,,
Papel e Celulose (CNAE 17),2024,330873864.0,13134201574.0,2.52,187964965.0,1190182833.0,15.79,415948184.0,22249621051.0,1.87,105,189,55.56,100,174,57.47,-5.3,26.8,-0.85,22.4,7.4,1.93,0.6,4.3,-0.07
Papel e Celulose (CNAE 17),2025,371136784.0,12659936644.0,2.93,205603882.0,1344551403.0,15.29,474123755.0,24785168804.0,1.91,105,178,58.99,98,176,55.68,12.2,-3.6,0.41,9.4,13.0,-0.5,14.0,11.4,0.04
