Setor,Ano,BR_EXP_USD,BR_IMP_USD,BR_EXP_Kg,SC_EXP_USD,SC_IMP_USD,SC_EXP_Kg,Participacao_EXP_Pct,Participacao_IMP_Pct,Participacao_Kg_Pct,Var_SC_EXP_YoY_Pct,Var_BR_EXP_YoY_Pct,Var_Part_pp
Madeira (CNAE 16),2015,2236895640.0,127778864.0,4269173758.0,592416199.0,21452565.0,783853595.0,26.48,16.79,18.36,,,
Madeira (CNAE 16),2016,2319249146.0,107256933.0,5261650044.0,641989444.0,15239915.0,1069297634.0,27.68,14.21,20.32,8.4,3.7,1.2
Madeira (CNAE 16),2017,2727750926.0,103909953.0,5981578908.0,814780637.0,17007796.0,1415278986.0,29.87,16.37,23.66,26.9,17.6,2.19
Madeira (CNAE 16),2018,3078218989.0,108752339.0,6512412080.0,930876705.0,20250149.0,1571045410.0,30.24,18.62,24.12,14.2,12.8,0.37
Madeira (CNAE 16),2019,2808923675.0,115189203.0,6216959450.0,858824307.0,24757798.0,1588711063.0,30.57,21.49,25.55,-7.7,-8.7,0.33
Madeira (CNAE 16),2020,3015629539.0,112878612.0,7010951380.0,988363735.0,19541431.0,1881689029.0,32.77,17.31,26.84,15.1,7.4,2.2
Madeira (CNAE 16),2021,4265996045.0,136170412.0,7319504817.0,1446131975.0,31827051.0,1908313632.0,33.9,23.37,26.07,46.3,41.5,1.13
Madeira (CNAE 16),2022,4529787336.0,126896161.0,7435974657.0,1440624777.0,33187312.0,1839694394.0,31.8,26.15,24.74,-0.4,6.2,-2.1
Madeira (CNAE 16),2023,3263494144.0,137841471.0,6288906306.0,1109375093.0,34543812.0,1751497933.0,33.99,25.06,27.85,-23.0,-28.0,2.19
Madeira (CNAE 16),2024,3506154734.0,149247657.0,6877909238.0,1298661200.0,43770853.0,2089992945.0,37.04,29.33,30.39,17.1,7.4,3.05
Madeira (CNAE 16),2025,3155866395.0,174318134.0,6080495439.0,1172015840.0,48169425.0,2086603674.0,37.14,27.63,34.32,-9.8,-10.0,0.1
Moveis (CNAE 31),2015,485649070.0,201094449.0,258999896.0,202577159.0,45398603.0,88062105.0,41.71,22.58,34.0,,,
Moveis (CNAE 31),2016,486727009.0,150105933.0,285649297.0,204659789.0,33447988.0,93585533.0,42.05,22.28,32.76,1.0,0.2,0.34
Moveis (CNAE 31),2017,539457527.0,164832609.0,304033475.0,232225198.0,41918784.0,105291950.0,43.05,25.43,34.63,13.5,10.8,1.0
Moveis (CNAE 31),2018,606880629.0,197687780.0,314923082.0,276176712.0,52764297.0,109976727.0,45.51,26.69,34.92,18.9,12.5,2.46
Moveis (CNAE 31),2019,606714925.0,169763507.0,329131585.0,275142463.0,52162577.0,125609875.0,45.35,30.73,38.16,-0.4,-0.0,-0.16
Moveis (CNAE 31),2020,598545367.0,145975961.0,346972488.0,272336690.0,54717693.0,125915246.0,45.5,37.48,36.29,-1.0,-1.3,0.15
Moveis (CNAE 31),2021,885307930.0,170027210.0,495007173.0,365168237.0,76546815.0,157663317.0,41.25,45.02,31.85,34.1,47.9,-4.25
Moveis (CNAE 31),2022,769130863.0,191399860.0,351718545.0,338558899.0,86749930.0,125885122.0,44.02,45.32,35.79,-7.3,-13.1,2.77
Moveis (CNAE 31),2023,680783866.0,263023933.0,319166015.0,253109987.0,126533979.0,100263501.0,37.18,48.11,31.41,-25.2,-11.5,-6.84
Moveis (CNAE 31),2024,707342267.0,326934498.0,342041955.0,251532828.0,148058804.0,101967542.0,35.56,45.29,29.81,-0.6,3.9,-1.62
Moveis (CNAE 31),2025,703108160.0,360416492.0,346782862.0,253193453.0,162946837.0,105240699.0,36.01,45.21,30.35,0.7,-0.6,0.45
Madeira e Moveis (16+31),2015,2722544710.0,328873313.0,4528173654.0,794993358.0,66851168.0,871915700.0,29.2,20.33,19.26,,,
Madeira e Moveis (16+31),2016,2805976155.0,257362866.0,5547299341.0,846649233.0,48687903.0,1162883167.0,30.17,18.92,20.96,6.5,3.1,0.97
Madeira e Moveis (16+31),2017,3267208453.0,268742562.0,6285612383.0,1047005835.0,58926580.0,1520570936.0,32.05,21.93,24.19,23.7,16.4,1.88
Madeira e Moveis (16+31),2018,3685099618.0,306440119.0,6827335162.0,1207053417.0,73014446.0,1681022137.0,32.75,23.83,24.62,15.3,12.8,0.7
Madeira e Moveis (16+31),2019,3415638600.0,284952710.0,6546091035.0,1133966770.0,76920375.0,1714320938.0,33.2,26.99,26.19,-6.1,-7.3,0.45
