Setor,Ano,Rank,UF,EXP_USD,EXP_Kg,Share_BR_Pct
Base Florestal (CNAE 2),2023,1,RS,82106794.0,720475882.0,27.13
Base Florestal (CNAE 2),2023,2,CE,59733382.0,13195720.0,19.74
Base Florestal (CNAE 2),2023,3,SC,42129153.0,493207644.0,13.92
Base Florestal (CNAE 2),2023,4,MT,36390375.0,115984167.0,12.02
Base Florestal (CNAE 2),2023,5,PI,25705872.0,3747140.0,8.49
Base Florestal (CNAE 2),2023,6,PA,18954812.0,98597196.0,6.26
Base Florestal (CNAE 2),2023,7,SP,17418712.0,12199924.0,5.76
Base Florestal (CNAE 2),2023,8,PR,7495208.0,7088396.0,2.48
Base Florestal (CNAE 2),2023,9,AC,3419852.0,4222064.0,1.13
Base Florestal (CNAE 2),2023,10,AM,3131312.0,997095.0,1.03
Base Florestal (CNAE 2),2024,1,CE,79765782.0,17144730.0,23.19
Base Florestal (CNAE 2),2024,2,RS,56623946.0,408096735.0,16.46
Base Florestal (CNAE 2),2024,3,MT,53864645.0,168117093.0,15.66
Base Florestal (CNAE 2),2024,4,SC,50718988.0,566519208.0,14.74
Base Florestal (CNAE 2),2024,5,PI,30159382.0,4653580.0,8.77
Base Florestal (CNAE 2),2024,6,SP,21063443.0,14329409.0,6.12
Base Florestal (CNAE 2),2024,7,PA,20441831.0,98515751.0,5.94
Base Florestal (CNAE 2),2024,8,AM,6645019.0,1480345.0,1.93
Base Florestal (CNAE 2),2024,9,PR,6454057.0,7823681.0,1.88
Base Florestal (CNAE 2),2024,10,AC,5602753.0,4005908.0,1.63
Base Florestal (CNAE 2),2025,1,CE,106925353.0,17305841.0,30.38
Base Florestal (CNAE 2),2025,2,SC,49021632.0,541961648.0,13.93
Base Florestal (CNAE 2),2025,3,MT,46061071.0,145045594.0,13.09
Base Florestal (CNAE 2),2025,4,RS,40279095.0,249479975.0,11.45
Base Florestal (CNAE 2),2025,5,PI,36329781.0,4261893.0,10.32
Base Florestal (CNAE 2),2025,6,SP,22637126.0,11802322.0,6.43
Base Florestal (CNAE 2),2025,7,PA,21772411.0,109382645.0,6.19
Base Florestal (CNAE 2),2025,8,AC,9389156.0,3374693.0,2.67
