Produto,Ano,BR_EXP_USD,SC_EXP_USD,Setor,Part_SC_BR_Pct,Var_SC_YoY_Pct,Var_BR_YoY_Pct,Var_Part_pp
Madeira em bruto,2024,155443105.0,44560707.0,Base Florestal (CNAE 2),28.7,17.1,0.7,4.0
Madeira em bruto,2025,133885860.0,43271868.0,Base Florestal (CNAE 2),32.3,-2.9,-13.9,3.6
Madeira em bruto,2023,154311511.0,38059989.0,Base Florestal (CNAE 2),24.7,,,
Sucos,2024,30102974.0,5927827.0,Base Florestal (CNAE 2),19.7,57.1,17.2,5.0
Sucos,2025,30912748.0,5619158.0,Base Florestal (CNAE 2),18.2,-5.2,2.7,-1.5
Sucos,2023,25693852.0,3774108.0,Base Florestal (CNAE 2),14.7,,,
Carvão vegetal de madeira,2023,3448093.0,197684.0,Base Florestal (CNAE 2),5.7,,,
Carvão vegetal de madeira,2024,3979834.0,187360.0,Base Florestal (CNAE 2),4.7,-5.2,15.4,-1.0
Carvão vegetal de madeira,2025,3994060.0,118031.0,Base Florestal (CNAE 2),3.0,-37.0,0.4,-1.7
Gomas e resinas,2023,28652310.0,87451.0,Base Florestal (CNAE 2),0.3,,,
Gomas e resinas,2024,32782561.0,28099.0,Base Florestal (CNAE 2),0.1,-67.9,14.4,-0.2
Gomas e resinas,2025,29052254.0,12567.0,Base Florestal (CNAE 2),0.0,-55.3,-11.4,-0.1
Lenha e desperdícios de madeira,2024,331989.0,10095.0,Base Florestal (CNAE 2),3.0,2.0,2254.4,-67.2
Lenha e desperdícios de madeira,2023,14101.0,9893.0,Base Florestal (CNAE 2),70.2,,,
Outras frutas de casca rija,2024,39655.0,4900.0,Base Florestal (CNAE 2),12.4,27122.2,464.0,12.1
Outras frutas de casca rija,2023,7031.0,18.0,Base Florestal (CNAE 2),0.3,,,
Cocos e castanhas,2023,7006916.0,10.0,Base Florestal (CNAE 2),0.0,,,
Outras frutas de casca rija,2025,25275.0,8.0,Base Florestal (CNAE 2),0.0,-99.8,-36.3,-12.4
Ceras de vegetais e de insetos,2023,83529954.0,0.0,Base Florestal (CNAE 2),0.0,,,
Ceras de vegetais e de insetos,2024,108047082.0,0.0,Base Florestal (CNAE 2),0.0,,29.4,0.0
Ceras de vegetais e de insetos,2025,142537259.0,0.0,Base Florestal (CNAE 2),0.0,,31.9,0.0
Cocos e castanhas,2024,13281710.0,0.0,Base Florestal (CNAE 2),0.0,-100.0,89.6,0.0
Cocos e castanhas,2025,11333252.0,0.0,Base Florestal (CNAE 2),0.0,,-14.7,0.0
Lenha e desperdícios de madeira,2025,166608.0,0.0,Base Florestal (CNAE 2),0.0,-100.0,-49.8,-3.0
Madeira serrada,2025,801134919.0,367778763.0,Complexo Florestal,45.9,8.0,5.0,1.3
Madeira serrada,2024,763068100.0,340657017.0,Complexo Florestal,44.6,9.4,0.1,3.8
Obras de carpintaria para construções,2024,458823080.0,331417218.0,Complexo Florestal,72.2,12.9,7.9,3.2
Madeira serrada,2023,762239231.0,311299909.0,Complexo Florestal,40.8,,,
Obras de carpintaria para construções,2023,425061339.0,293467151.0,Complexo Florestal,69.0,,,
Obras de carpintaria para construções,2025,338621568.0,254412297.0,Complexo Florestal,75.1,-23.2,-26.2,2.9
Madeira compensada,2024,837232655.0,253476658.0,Complexo Florestal,30.3,18.9,20.4,-0.4
Outros móveis,2023,646065583.0,241818630.0,Complexo Florestal,37.4,,,
